Operation,Llama-3_1-8b,Llama-3-8b,Llama-2-7b
Constant,2827,2827,1737
Gather,420,420,164
Shape,517,517,197
Cast,332,332,332
Range,2,2,2
Unsqueeze,1775,1775,1135
Add,226,226,226
Concat,324,324,196
ConstantOfShape,67,67,3
Trilu,1,1,1
Reshape,259,259,131
Greater,1,1,1
Mul,519,519,391
Equal,66,66,2
Where,66,66,2
Expand,66,66,2
MatMul,290,290,290
Transpose,386,386,386
Cos,1,1,1
Sin,1,1,1
Pow,65,65,65
ReduceMean,65,65,65
Sqrt,161,161,161
Div,161,161,161
Slice,192,192,192
Neg,64,64,64
Softmax,32,32,32
Sigmoid,32,32,32
